FID,OBJECTID,Upstream_S,Upstream_I,Upstream_A,Downstream,Downstre_1,Downstre_2,Pipe_ID,Pipe_Geome,Horizontal,Vertical_D,Pipe_Size,Pipe_Lengt,Pipe_Mater,Condition,Comments,Enabled,COMPTYPE,COMPKEY,UNITID,UNITID2,MAINCOMP1,MAINCOMP2,PARLINENO,Date_VERIF,Dbasin,Owner,Picture_ID,Picture__1,Percent_Bl,Pipe_Quant,Pipe_Squas,SurveyDate,Verified_B,Source,Major_Wate,Year_Insta,PIPE_LININ,Downstre_3,Upstream_1,created_us,created_da,last_edite,last_edi_1,Verified_L,DOCID,OUTFALL,Shape_Leng
53,191, ,4.600000000000000,1, ,4.370000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',28.000000000000000,RCP,G, ,1,31,2014844, , ,0,0, ,,5137,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0722,OF0105805,28.095050519800001
54,192,E152131,4.310000000000000,0,E152125,3.940000000000000,0,E152131-E152125,CR,15.000000000000000,0.000000000000000,15'',19.000000000000000,RCP,G, ,1,31,2014845,E152131,E152125,29,29, ,,5137,CON, , ,0,0,0,,SW,DM,08,1965,0,E152125,E152131,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0723,OF0105805,18.700073706500000
55,193,E152132,4.470000000000000,1,E152131,4.320000000000000,0,E152132-E152131,CR,15.000000000000000,0.000000000000000,15'',31.000000000000000,RCP,F, ,1,31,2014846,E152132,E152131,32,29, ,,5137,CON, , ,0,0,0,,SW,DM,08,1965,0,E152131,E152132,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0724,OF0105805,30.630351710700001
56,194,E152133,4.630000000000000,0,E152132,4.470000000000000,1,E152133-E152132,CR,15.000000000000000,0.000000000000000,15'',30.000000000000000,RCP,F, ,1,31,2014847,E152133,E152132,29,32, ,,5153,CON, , ,0,0,0,,SW,DM,08,1965,0,E152132,E152133,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0725,OF0105805,29.581661159799999
57,195, ,4.700000000000000,1, ,4.870000000000000,0, ,CR,12.000000000000000,0.000000000000000,12'',4.000000000000000,CLAY,P, ,1,31,2014848, , ,0,0, ,,5176,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0726,OF0105805,4.383432722820000
58,196, ,4.520000000000000,1, ,4.540000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',26.000000000000000,RCP,P, ,1,31,2014849, , ,0,0, ,,5176,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0727,OF0105805,26.065434027599999
59,197, ,4.300000000000000,1, ,4.250000000000000,0, ,CR,12.000000000000000,0.000000000000000,12'',3.000000000000000,CLAY,P, ,1,31,2014850, , ,0,0, ,,5168,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0728,OF0105805,2.976901262930000
60,198, ,4.140000000000000,1, ,3.940000000000000,0, ,CR,15.000000000000000,0.000000000000000,15'',32.000000000000000,RCP,G, ,1,31,2014851, , ,0,0, ,,5159,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0729,OF0105805,31.666077024800000
61,199, ,3.910000000000000,0, ,3.700000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',29.000000000000000,RCP,G, ,1,31,2014852, , ,0,0, ,,5158,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0730,OF0105805,29.183464139300000
62,200, ,3.700000000000000,1, ,3.480000000000000,1, ,CR,15.000000000000000,0.000000000000000,15'',29.000000000000000,RCP,U, ,1,31,2014853, , ,0,0, ,,5192,CON, , ,0,0,0,,SW,ASBLT,08,1965,0, , ,SW,,GISNORFOLK,10/7/2016 0:00:00,4,STPIPE0731,OF0105805,29.446102837600002
