FID,OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
47,11751,E143355,MH,32,5.470000000000000,-1.020000000000000,1929,ST, ,I,Sediment,12/1/2006 0:00:00,CN,12130380.747500001000000,3480384.810610000000000,1,0,E143355,30,1998930,0,12/1/2006 0:00:00,3539,CON,CN, , ,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,11/1/2016 0:00:00,4,207 E PRINCESS ANNE ROAD,MH014992,E143250,0, 
48,11753,F143552,RFDR,60,0.000000000000000,0.000000000000000,1929,ST, ,I,Possible YB or PBPS,10/22/2012 0:00:00,SW,12131604.235500000000000,3480401.886899999800000,1,0,F143552,32,1998932,1,,3568,CON,CN, , ,0,0,0,CONC,0,DM,08,59,U,SW,,GISNORFOLK,9/30/2016 0:00:00,2,238 E PRINCESS ANNE ROAD,RFDR014994,E143250,0, 
49,11754,F143551,GB,24,5.730000000000000,2.580000000000000,1929,GR,30X30,I,Debris-Minor- Sediment,10/12/2006 0:00:00,CN,12131616.566000000000000,3480382.189989999900000,1,0,F143551,29,1998933,2,10/12/2006 0:00:00,3568,CON,CN, , ,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014995,E143250,0, 
50,11755,F143622,GB,24,7.610000000000000,3.460000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131793.010000000000000,3480383.374160000100000,1,0,F143622,29,1998934,2,,3588,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014996,E143250,0, 
51,11756,F143623,GB,24,7.059999940000000,3.740000000000000,1929,ST, ,I,Rim and Invert Assumed,10/22/2012 0:00:00,SW,12131777.912100000000000,3480386.907399999900000,1,0,F143623,29,1998935,1,,3594,CON,CN, , ,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,9/30/2016 0:00:00,4,238 E PRINCESS ANNE ROAD,GB014997,E143250,0, 
52,11757,E143300,MH,32,8.529999999999999,3.410000000000000,1929,ST, ,I,Debris-Full; Sediment,10/14/2014 0:00:00,CN,12129339.083000001000000,3480401.444010000200000,1,0,E143300,30,1998936,0,10/16/2006 0:00:00,3508,CON, , , ,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,11/1/2016 0:00:00,3,1112 LLEWELLYN AVENUE,MH014998,E143250,0, 
53,11763,H14150,MHNS,39,10.810000410000001,5.119999880000000,1947,NS,30,I, ,,SW,12137551.578500001000000,3480375.708290000000000,1,0,H14150,30,2017247,0,,3598,CON, , , ,0,0,0,CONC,0,DM,05,37,U,SW,,MOSWALD,6/9/2016 0:00:00,4,1526 SAINT JULIAN AVENUE,MHNS015007, ,0, 
54,11764,H14152,PE,46,0.000000000000000,8.619999880000000,1947,ST, ,I, ,,SW,12137538.486300001000000,3480382.116630000100000,1,0,H14152,32,2017248,1,,3598,CON, , , ,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,6/9/2016 0:00:00,2,1526 SAINT JULIAN AVENUE,PE015008, ,0, 
55,11765,E143301,STUB,63,6.900000000000000,3.500000000000000,1929,ST,30X19-30,I,Rim and Invert Assumed,10/14/2014 0:00:00,CN,12129352.267700000000000,3480391.820020000000000,1,0,E143301,32,1998939,0,,3508,CON, , , ,0,0,0,CONC,0,DM,08,11,U,SW,,GISNORFOLK,11/1/2016 0:00:00,2,1110 LLEWELLYN AVENUE,STUB015009,E143250,0, 
56,11767,H14151,PE,46,0.000000000000000,9.000000000000000,1947,ST, ,I, ,,SW,12137567.973400000000000,3480374.096390000100000,1,0,H14151,32,2017249,1,,3598,CON, , , ,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,6/9/2016 0:00:00,2,1526 SAINT JULIAN AVENUE,PE015011, ,0, 
