OBJECTID,Structure_,Structure1,Type_Code,Rim_Elevat,Invert_Ele,Year_Insta,Lid_Type,Lid_Size,Invert_Typ,Comments,Date_Verif,Verified_B,Easting,Northing,Enabled,AncillaryR,UNITID,COMPTYPE,COMPKEY,CntPipe,SurveyDate,Dbasin,Owner,Collector,Picture_ID,Picture__1,Junction_B,Junction_1,Percent_Bl,Structur_1,Structur_2,Source,Major_Wate,Type_Code_,Condition,created_us,created_da,last_edite,last_edi_1,Verified_L,Structur_3,DOCID,OUTFALL,Medallion,Outfall_Re
11724,E143357,CBNS,10,5.62000000000,0.98000000000,1929,NS,30X19-30,I,"Debris-Full, Good; Sediment, Throat: H=0.53' L=10'; VDOT DI-3C",2006/11/01,CN,12130331.33459999971,3480440.34210000001,1,0,E143357,29,1998917,0,2006/11/01,3484,CON,CN,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,4,1201 MONTICELLO AVENUE,CBNS014960,E143250,0,
11725,E143356,MH,32,5.17000000000,1.18000000000,1929,ST,,I,"Debris-Minor;Sediment",2006/12/01,CN,12130335.93310000002,3480435.54915999994,1,0,E143356,30,1998918,0,2006/12/01,3484,CON,CN,,,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,2016/11/01,4,121 E PRINCESS ANNE ROAD,MH014961,E143250,0,
11728,H14149,CBNS,10,11.14000034000,4.09000015000,1947,NS,30X19-30,I,,,SW,12137544.10979999974,3480415.60462999996,1,0,H14149,29,2017237,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,11,U,SW,,MOSWALD,2016/06/09,4,1526 SAINT JULIAN AVENUE,CBNS014965,,0,
11729,H14148,POPE,56,0.00000000000,4.09000015000,1947,NA,,I,,,SW,12137545.71790000051,3480428.40065999981,1,0,H14148,32,2017238,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,52,U,SW,,MOSWALD,2016/06/03,2,1526 SAINT JULIAN AVENUE,POPE014966,,0,
11730,E143367,STUB,63,4.46000000000,1.46000000000,1929,GR,,I,Debris- Minor,2014/10/15,CN,12130635.54299999960,3480420.70501000015,1,0,E143367,32,1998919,1,,3399,CON,CN,,,0,0,0,CONC,0,DM,08,16,G,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,STUB014967,E143250,0,
11732,E14178,GB,24,6.45000000000,3.55000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129141.50999999978,3480409.72401000001,1,0,E14178,29,1998921,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,F,SW,,GISNORFOLK,2016/11/01,3,1111 LLEWELLYN AVENUE,GB014970,,0,
11733,E14177,GB,24,6.43000000000,2.95000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129122.37500000000,3480406.17700000014,1,0,E14177,29,1998922,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/11/01,3,1022 LLEWELLYN MEWS,GB014971,,0,
11737,F143544,GB,24,6.70000000000,2.83000000000,1929,GR,30X30,I,"Rim , Invert and Location Assumed",2012/10/22,SW,12131371.39360000007,3480404.08130999980,1,0,F143544,29,1998923,2,,3589,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014975,E143250,0,
11747,E143303,MH,32,9.79000000000,5.01000000000,1929,ST,,I,"Debris-Minor; Sediment",2014/10/14,CN,12129247.99919999950,3480429.47500000009,1,0,E143303,30,1998928,0,2006/10/16,3404,CON,,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,3,1115 LLEWELLYN AVENUE,MH014988,E143250,0,
11748,E143302,CBNS,10,9.44000000000,4.79000000000,1929,NS,30X19-30,I,"Debris-Minor; Throat: H=0.60' L=2.33'",2014/10/14,CN,12129282.13299999945,3480419.78199000005,1,0,E143302,29,1998929,0,2006/12/15,3404,CON,,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,3,1115 LLEWELLYN AVENUE,CBNS014989,E143250,0,
11751,E143355,MH,32,5.47000000000,-1.02000000000,1929,ST,,I,Sediment,2006/12/01,CN,12130380.74750000052,3480384.81061000004,1,0,E143355,30,1998930,0,2006/12/01,3539,CON,CN,,,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,2016/11/01,4,207 E PRINCESS ANNE ROAD,MH014992,E143250,0,
11753,F143552,RFDR,60,0.00000000000,0.00000000000,1929,ST,,I,Possible YB or PBPS,2012/10/22,SW,12131604.23550000042,3480401.88689999981,1,0,F143552,32,1998932,1,,3568,CON,CN,,,0,0,0,CONC,0,DM,08,59,U,SW,,GISNORFOLK,2016/09/30,2,238 E PRINCESS ANNE ROAD,RFDR014994,E143250,0,
11754,F143551,GB,24,5.73000000000,2.58000000000,1929,GR,30X30,I,Debris-Minor- Sediment,2006/10/12,CN,12131616.56599999964,3480382.18998999987,1,0,F143551,29,1998933,2,2006/10/12,3568,CON,CN,,,0,0,0,CONC,0,DM,08,28,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014995,E143250,0,
11755,F143622,GB,24,7.61000000000,3.46000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131793.00999999978,3480383.37416000012,1,0,F143622,29,1998934,2,,3588,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014996,E143250,0,
11756,F143623,GB,24,7.05999994000,3.74000000000,1929,ST,,I,Rim and Invert Assumed,2012/10/22,SW,12131777.91210000031,3480386.90739999991,1,0,F143623,29,1998935,1,,3594,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB014997,E143250,0,
11757,E143300,MH,32,8.53000000000,3.41000000000,1929,ST,,I,"Debris-Full; Sediment",2014/10/14,CN,12129339.08300000057,3480401.44401000021,1,0,E143300,30,1998936,0,2006/10/16,3508,CON,,,,0,0,0,CONC,0,DM,08,36,F,SW,,GISNORFOLK,2016/11/01,3,1112 LLEWELLYN AVENUE,MH014998,E143250,0,
11763,H14150,MHNS,39,10.81000041000,5.11999988000,1947,NS,30,I,,,SW,12137551.57850000076,3480375.70828999998,1,0,H14150,30,2017247,0,,3598,CON,,,,0,0,0,CONC,0,DM,05,37,U,SW,,MOSWALD,2016/06/09,4,1526 SAINT JULIAN AVENUE,MHNS015007,,0,
11764,H14152,PE,46,0.00000000000,8.61999988000,1947,ST,,I,,,SW,12137538.48630000092,3480382.11663000006,1,0,H14152,32,2017248,1,,3598,CON,,,,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,2016/06/09,2,1526 SAINT JULIAN AVENUE,PE015008,,0,
11765,E143301,STUB,63,6.90000000000,3.50000000000,1929,ST,30X19-30,I,Rim and Invert Assumed,2014/10/14,CN,12129352.26769999973,3480391.82001999998,1,0,E143301,32,1998939,0,,3508,CON,,,,0,0,0,CONC,0,DM,08,11,U,SW,,GISNORFOLK,2016/11/01,2,1110 LLEWELLYN AVENUE,STUB015009,E143250,0,
11767,H14151,PE,46,0.00000000000,9.00000000000,1947,ST,,I,,,SW,12137567.97340000048,3480374.09639000008,1,0,H14151,32,2017249,1,,3598,CON,,,,0,0,0,CONC,0,DM,05,23,U,SW,,MOSWALD,2016/06/09,2,1526 SAINT JULIAN AVENUE,PE015011,,0,
11768,F143550,PICN,50,6.21000000000,-0.85000000000,1929,ST,,I,,2012/10/22,SW,12131623.40870000049,3480372.13734999998,1,0,F143550,32,1998940,3,,3568,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PICN015012,E143250,0,
11770,F143618,PICN,50,6.21000000000,-0.83000000000,1929,ST,,I,,2012/10/22,SW,12131636.71089999937,3480366.01898999978,1,0,F143618,32,1998941,3,,3632,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PICN015014,E143250,0,
11773,E1440,MH,32,7.31000000000,0.55000000000,1973,ST,,I,"May be a buried manhole, from East Ghent - South Streets part one plans",2012/10/22,SW,12128693.98159999959,3480370.46503000008,1,0,E1440,30,1998942,3,2006/10/03,3573,CON,,,,0,0,0,CONC,0,DM,08,36,U,SW,,GISNORFOLK,2016/11/01,3,842 BOTETOURT GARDENS,MH015017,,0,
11774,E143353,CBNS,10,4.22000000000,1.20000000000,1929,NS,30X19-30,I,"VACTOR INSPECTION, Debris-Minor;Sediment, Throat: H=0.46' L=2.33'",2016/10/07,V-WK,12130447.76300000027,3480386.63200000022,1,0,E143353,29,1998943,0,2016/10/07,3606,CON,CN,,,0,0,0,CONC,0,VACTR,08,11,G,SW,,GISNORFOLK,2016/11/01,3,207 E PRINCESS ANNE ROAD,CBNS015018,E143250,0,
11775,E143352,MH,32,4.57000000000,-1.37000000000,1929,ST,,I,"Debris-Minor;Sediment",2006/12/01,CN,12130445.49860000052,3480363.01258999994,1,0,E143352,30,1998944,0,2006/12/01,3606,CON,CN,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,4,207 E PRINCESS ANNE ROAD,MH015019,E143250,0,
11776,E1443,CBNS,10,6.56000000000,2.92000000000,1973,NS,30X19-30,I,"Debris-Minor, Throat H=0.60' L=2.33'",2006/10/02,CN,12128537.33599999920,3480371.60399999982,1,0,E1443,29,1998945,0,2006/10/02,3573,CON,,,,0,0,0,CONC,0,DM,08,11,G,SW,,GISNORFOLK,2016/11/01,3,824 BOTETOURT GARDENS,CBNS015020,,0,
11777,E1442,MH,32,6.49000000000,0.90000000000,1973,ST,,I,Debris-Minor,2006/10/02,CN,12128542.66000000015,3480368.32500000019,1,0,E1442,30,1998946,0,2006/10/02,3573,CON,,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,3,824 BOTETOURT GARDENS,MH015021,,0,
11778,E143358,CBCW,7,5.87000000000,1.93000000000,1929,ST,,I,"Debris-Minor; M=.70,  L=2.33",2006/11/01,CN,12130315.53989999928,3480367.54780999990,1,0,E143358,29,1998947,0,2006/11/01,3577,CON,CN,,,0,0,0,CONC,0,DM,08,7,F,SW,,GISNORFOLK,2016/11/01,4,121 E PRINCESS ANNE ROAD,CBCW015022,E143250,0,
11781,E14176,MH,32,6.69000000000,2.47000000000,1943,ST,,I,Debris-Minor,2006/10/04,CN,12129130.00799999945,3480341.85300000012,1,0,E14176,30,1998950,0,2006/10/04,3404,CON,,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,3,1103 LLEWELLYN AVENUE,MH015025,,0,
11782,E143365,MH,32,4.73000000000,-1.14000000000,1929,ST,,I,,,CN,12130576.83400000073,3480354.46131999977,1,0,E143365,30,1998951,2,,3606,CON,CN,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,MH015026,E143250,0,
11783,F143619,GB,24,6.36000000000,2.48000000000,1929,GR,30X30,I,Rim and Invert Assumed,2012/10/22,SW,12131638.94470000081,3480362.90519999992,1,0,F143619,29,1998952,1,2006/12/13,3632,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB015027,E143250,0,
11787,F143548,MHNS,39,6.47000000000,-3.68000000000,1929,NS,30,I,"Sediment; Box Culvert",2006/10/12,CN,12131603.45199999958,3480359.87699999986,1,0,F143548,30,1998954,3,2006/10/12,3604,CON,CN,,,0,0,0,CONC,0,DM,08,36,G,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,MHNS015031,E143250,0,
11788,F143549,PBPS,45,6.80000000000,2.00000000000,1929,ST,,I,"Rim , Invert and Location Assumed",2012/05/23,SW,12131598.49599999934,3480369.67260000017,1,0,F143549,32,1998955,1,,3604,PRIVATE,CN,,,0,0,0,CONC,0,DM,08,53,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PBPS015032,E143250,0,
11789,E143363,PICN,50,4.82000000000,-1.62000000000,1929,ST,,I,,2012/10/22,SW,12130587.44539999962,3480351.99836000009,1,0,E143363,32,1998956,4,,3535,CON,CN,,,0,0,0,CONC,0,DM,08,54,U,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,PICN015035,E143250,0,
11790,E143364,GB,24,4.08000000000,1.02000000000,1929,ST,,I,,,CN,12130588.64819999970,3480360.15888000000,1,0,E143364,29,1998957,0,,3399,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/11/01,4,1200 MONTICELLO AVENUE,GB015036,E143250,0,
11792,F143532,PBPS,45,6.85000000000,3.50000000000,1929,GR,30X30,I,Rim and Invert Assumed,2014/10/14,SW,12131154.87580000050,3480387.11347999983,1,0,F143532,32,1998958,1,,3537,PRIVATE,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,PBPS015038,E143250,0,
11793,F143531,GB,24,6.00000000000,3.25000000000,1929,GR,30X30,I,"Rim ,Invert and Location Assumed",2014/10/14,SW,12131147.32019999996,3480349.90388000011,1,0,F143531,29,1998959,2,2006/12/13,3638,CON,CN,,,0,0,0,CONC,0,DM,08,28,U,SW,,GISNORFOLK,2016/09/30,4,238 E PRINCESS ANNE ROAD,GB015039,E143250,0,
