Date Time, Water Level, Sigma, O, F, R, L, Quality ,,,,
1/1/2013 15:30,1.242,0.002,0,0,0,0,v,,15:30,1.242,-2.758
1/1/2013 15:36,1.233,0.002,0,0,0,0,v,,15:36,1.233,-2.767
1/1/2013 15:42,1.224,0.002,0,0,0,0,v,,15:42,1.224,-2.776
1/1/2013 15:48,1.213,0.002,0,0,0,0,v,,15:48,1.213,-2.787
1/1/2013 15:54,1.209,0.002,0,0,0,0,v,,15:54,1.209,-2.791
1/1/2013 16:00,1.207,0.004,0,0,0,0,v,,16:00,1.207,-2.793
1/1/2013 16:06,1.19,0.004,0,0,0,0,v,,16:06,1.19,-2.81
1/1/2013 16:12,1.159,0.004,0,0,0,0,v,,16:12,1.159,-2.841
1/1/2013 16:18,1.125,0.006,0,0,0,0,v,,16:18,1.125,-2.875
1/1/2013 16:24,1.095,0.004,0,0,0,0,v,,16:24,1.095,-2.905
1/1/2013 16:30,1.069,0.004,0,0,0,0,v,,16:30,1.069,-2.931
1/1/2013 16:36,1.053,0.003,0,0,0,0,v,,16:36,1.053,-2.947
1/1/2013 16:42,1.04,0.003,0,0,0,0,v,,16:42,1.04,-2.96
1/1/2013 16:48,1.019,0.003,0,0,0,0,v,,16:48,1.019,-2.981
1/1/2013 16:54,0.99,0.005,0,0,0,0,v,,16:54,0.99,-3.01
1/1/2013 17:00,0.956,0.006,0,0,0,0,v,,17:00,0.956,-3.044
1/1/2013 17:06,0.917,0.006,0,0,0,0,v,,17:06,0.917,-3.083
1/1/2013 17:12,0.871,0.007,0,0,0,0,v,,17:12,0.871,-3.129
1/1/2013 17:18,0.825,0.007,0,0,0,0,v,,17:18,0.825,-3.175
1/1/2013 17:24,0.784,0.004,0,0,0,0,v,,17:24,0.784,-3.216
1/1/2013 17:30,0.751,0.005,0,0,0,0,v,,17:30,0.751,-3.249
1/1/2013 17:36,0.721,0.005,0,0,0,0,v,,17:36,0.721,-3.279
1/1/2013 17:42,0.686,0.006,0,0,0,0,v,,17:42,0.686,-3.314
1/1/2013 17:48,0.644,0.006,0,0,0,0,v,,17:48,0.644,-3.356
1/1/2013 17:54,0.602,0.007,0,0,0,0,v,,17:54,0.602,-3.398
1/1/2013 18:00,0.562,0.005,0,0,0,0,v,,18:00,0.562,-3.438
1/1/2013 18:06,0.529,0.005,0,0,0,0,v,,18:06,0.529,-3.471
1/1/2013 18:12,0.5,0.005,0,0,0,0,v,,18:12,0.5,-3.5
1/1/2013 18:18,0.469,0.005,0,0,0,0,v,,18:18,0.469,-3.531
1/1/2013 18:24,0.434,0.006,0,0,0,0,v,,18:24,0.434,-3.566
1/1/2013 18:30,0.398,0.006,0,0,0,0,v,,18:30,0.398,-3.602
1/1/2013 18:36,0.358,0.007,0,0,0,0,v,,18:36,0.358,-3.642
1/1/2013 18:42,0.316,0.006,0,0,0,0,v,,18:42,0.316,-3.684
1/1/2013 18:48,0.269,0.007,0,0,0,0,v,,18:48,0.269,-3.731
1/1/2013 18:54,0.227,0.006,0,0,0,0,v,,18:54,0.227,-3.773
1/1/2013 19:00,0.196,0.004,0,0,0,0,v,,19:00,0.196,-3.804
1/1/2013 19:06,0.176,0.003,0,0,0,0,v,,19:06,0.176,-3.824
1/1/2013 19:12,0.157,0.003,0,0,0,0,v,,19:12,0.157,-3.843
1/1/2013 19:18,0.134,0.003,0,0,0,0,v,,19:18,0.134,-3.866
1/1/2013 19:24,0.109,0.003,0,0,0,0,v,,19:24,0.109,-3.891
1/1/2013 19:30,0.086,0.003,0,0,0,0,v,,19:30,0.086,-3.914
1/1/2013 19:36,0.063,0.004,0,0,0,0,v,,19:36,0.063,-3.937
1/1/2013 19:42,0.034,0.004,0,0,0,0,v,,19:42,0.034,-3.966
1/1/2013 19:48,0.01,0.003,0,0,0,0,v,,19:48,0.01,-3.99
1/1/2013 19:54,-0.008,0.003,0,0,0,0,v,,19:54,-0.008,-4.008
1/1/2013 20:00,-0.026,0.002,0,0,0,0,v,,20:00,-0.026,-4.026
1/1/2013 20:06,-0.049,0.004,0,0,0,0,v,,20:06,-0.049,-4.049
1/1/2013 20:12,-0.071,0.002,0,0,0,0,v,,20:12,-0.071,-4.071
1/1/2013 20:18,-0.085,0.003,0,0,0,0,v,,20:18,-0.085,-4.085
1/1/2013 20:24,-0.101,0.002,0,0,0,0,v,,20:24,-0.101,-4.101
1/1/2013 20:30,-0.11,0.002,0,0,0,0,v,,20:30,-0.11,-4.11
1/1/2013 20:36,-0.111,0.001,0,0,0,0,v,,20:36,-0.111,-4.111
1/1/2013 20:42,-0.111,0.001,0,0,0,0,v,,20:42,-0.111,-4.111
1/1/2013 20:48,-0.108,0.001,0,0,0,0,v,,20:48,-0.108,-4.108
1/1/2013 20:54,-0.104,0.002,0,0,0,0,v,,20:54,-0.104,-4.104
1/1/2013 21:00,-0.098,0.002,0,0,0,0,v,,21:00,-0.098,-4.098
1/1/2013 21:06,-0.091,0.002,0,0,0,0,v,,21:06,-0.091,-4.091
1/1/2013 21:12,-0.078,0.002,0,0,0,0,v,,21:12,-0.078,-4.078
1/1/2013 21:18,-0.061,0.003,0,0,0,0,v,,21:18,-0.061,-4.061
1/1/2013 21:24,-0.04,0.004,0,0,0,0,v,,21:24,-0.04,-4.04
1/1/2013 21:30,-0.01,0.004,0,0,0,0,v,,21:30,-0.01,-4.01
1/1/2013 21:36,0.016,0.004,0,0,0,0,v,,21:36,0.016,-3.984
1/1/2013 21:42,0.043,0.004,0,0,0,0,v,,21:42,0.043,-3.957
1/1/2013 21:48,0.068,0.004,0,0,0,0,v,,21:48,0.068,-3.932
1/1/2013 21:54,0.091,0.004,0,0,0,0,v,,21:54,0.091,-3.909
1/1/2013 22:00,0.118,0.003,0,0,0,0,v,,22:00,0.118,-3.882
1/1/2013 22:06,0.143,0.004,0,0,0,0,v,,22:06,0.143,-3.857
1/1/2013 22:12,0.167,0.003,0,0,0,0,v,,22:12,0.167,-3.833
1/1/2013 22:18,0.184,0.002,0,0,0,0,v,,22:18,0.184,-3.816
1/1/2013 22:24,0.201,0.003,0,0,0,0,v,,22:24,0.201,-3.799
1/1/2013 22:30,0.217,0.002,0,0,0,0,v,,22:30,0.217,-3.783
1/1/2013 22:36,0.229,0.001,0,0,0,0,v,,22:36,0.229,-3.771
1/1/2013 22:42,0.232,0.001,0,0,0,0,v,,22:42,0.232,-3.768
1/1/2013 22:48,0.239,0.001,0,0,0,0,v,,22:48,0.239,-3.761
1/1/2013 22:54,0.247,0.002,0,0,0,0,v,,22:54,0.247,-3.753
1/1/2013 23:00,0.258,0.001,0,0,0,0,v,,23:00,0.258,-3.742
1/1/2013 23:06,0.265,0.002,0,0,0,0,v,,23:06,0.265,-3.735
1/1/2013 23:12,0.271,0.001,0,0,0,0,v,,23:12,0.271,-3.729
1/1/2013 23:18,0.275,0.001,0,0,0,0,v,,23:18,0.275,-3.725
1/1/2013 23:24,0.284,0.002,0,0,0,0,v,,23:24,0.284,-3.716
1/1/2013 23:30,0.298,0.002,0,0,0,0,v,,23:30,0.298,-3.702
1/1/2013 23:36,0.311,0.002,0,0,0,0,v,,23:36,0.311,-3.689
1/1/2013 23:42,0.324,0.002,0,0,0,0,v,,23:42,0.324,-3.676
1/1/2013 23:48,0.338,0.003,0,0,0,0,v,,23:48,0.338,-3.662
1/1/2013 23:54,0.352,0.002,0,0,0,0,v,,23:54,0.352,-3.648
1/2/2013 0:00,0.368,0.003,0,0,0,0,v,,,,
1/2/2013 0:06,0.382,0.002,0,0,0,0,v,,,,
1/2/2013 0:12,0.397,0.002,0,0,0,0,v,,,,
1/2/2013 0:18,0.411,0.002,0,0,0,0,v,,,,
1/2/2013 0:24,0.425,0.001,0,0,0,0,v,,,,
1/2/2013 0:30,0.435,0.001,0,0,0,0,v,,,,
1/2/2013 0:36,0.441,0.001,0,0,0,0,v,,,,
1/2/2013 0:42,0.445,0.001,0,0,0,0,v,,,,
1/2/2013 0:48,0.458,0.002,0,0,0,0,v,,,,
1/2/2013 0:54,0.474,0.002,0,0,0,0,v,,,,
1/2/2013 1:00,0.483,0.001,0,0,0,0,v,,,,
1/2/2013 1:06,0.489,0.002,0,0,0,0,v,,,,
1/2/2013 1:12,0.506,0.004,0,0,0,0,v,,,,
1/2/2013 1:18,0.528,0.003,0,0,0,0,v,,,,
1/2/2013 1:24,0.543,0.002,0,0,0,0,v,,,,
1/2/2013 1:30,0.559,0.003,0,0,0,0,v,,,,
1/2/2013 1:36,0.581,0.004,0,0,0,0,v,,,,
1/2/2013 1:42,0.609,0.004,0,0,0,0,v,,,,
1/2/2013 1:48,0.636,0.004,0,0,0,0,v,,,,
1/2/2013 1:54,0.659,0.004,0,0,0,0,v,,,,
1/2/2013 2:00,0.688,0.005,0,0,0,0,v,,,,
1/2/2013 2:06,0.72,0.005,0,0,0,0,v,,,,
1/2/2013 2:12,0.752,0.004,0,0,0,0,v,,,,
1/2/2013 2:18,0.779,0.004,0,0,0,0,v,,,,
